iter	Passed	Remaining
0	308	307718
1	625	312326
2	930	309342
3	1241	309208
4	1550	308487
5	1872	310163
6	2194	311289
7	2511	311448
8	2822	310742
9	3141	311013
10	3475	312481
11	3792	312223
12	4090	310573
13	4415	310999
14	4731	310717
15	5067	311655
16	5392	311829
17	5713	311698
18	6019	310818
19	6352	311269
20	6673	311092
21	6992	310832
22	7330	311380
23	7641	310761
24	7958	310371
25	8281	310255
26	8607	310199
27	8918	309608
28	9243	309510
29	9577	309660
30	9919	310056
31	10237	309686
32	10551	309196
33	10885	309285
34	11217	309294
35	11526	308642
36	11852	308484
37	12219	309335
38	12518	308471
39	12850	308404
40	13180	308302
41	13543	308920
42	13865	308581
43	14205	308656
44	14523	308218
45	14828	307523
46	15169	307582
47	15489	307215
48	15828	307198
49	16165	307150
50	16516	307340
51	16851	307213
52	17193	307219
53	17519	306911
54	17820	306181
55	18145	305886
56	18478	305700
57	18809	305490
58	19133	305165
59	19436	304501
60	19779	304475
61	20122	304439
62	20478	304570
63	20790	304066
64	21103	303566
65	21433	303322
66	21758	302994
67	22072	302518
68	22372	301872
69	22711	301741
70	23027	301305
71	23366	301163
72	23695	300895
73	24008	300428
74	24314	299874
75	24621	299348
76	24921	298734
77	25231	298251
78	25540	297754
79	25850	297277
80	26182	297061
81	26503	296714
82	26840	296540
83	27167	296260
84	27459	295597
85	27787	295317
86	28146	295375
87	28453	294879
88	28821	295015
89	29147	294714
90	29486	294538
91	29805	294162
92	30105	293610
93	30437	293363
94	30768	293110
95	31093	292794
96	31426	292559
97	31749	292221
98	32083	291988
99	32429	291863
100	32757	291573
101	33076	291204
102	33429	291127
103	33743	290712
104	34072	290426
105	34393	290070
106	34713	289713
107	35005	289118
108	35330	288803
109	35658	288513
110	35996	288299
111	36344	288162
112	36648	287675
113	36960	287252
114	37274	286851
115	37579	286380
116	37909	286100
117	38238	285817
118	38576	285595
119	38890	285194
120	39242	285075
121	39566	284748
122	39881	284360
123	40210	284066
124	40542	283800
125	40870	283501
126	41240	283485
127	41558	283118
128	41888	282826
129	42263	282839
130	42600	282592
131	42926	282271
132	43223	281764
133	43532	281334
134	43850	280969
135	44152	280495
136	44487	280238
137	44815	279933
138	45173	279813
139	45499	279497
140	45837	279253
141	46165	278946
142	46521	278804
143	46855	278529
144	47172	278158
145	47439	277486
146	47731	276969
147	48088	276832
148	48407	276476
149	48779	276418
150	49106	276100
151	49432	275783
152	49762	275485
153	50074	275082
154	50383	274673
