iter	Passed	Remaining
0	345	344944
1	692	345371
2	1053	350037
3	1385	345113
4	1740	346389
5	2097	347405
6	2451	347784
7	2790	346060
8	3122	343803
9	3467	343310
10	3814	342984
11	4161	342599
12	4508	342328
13	4841	340993
14	5204	341788
15	5580	343184
16	5925	342650
17	6291	343216
18	6644	343062
19	7010	343494
20	7351	342716
21	7720	343227
22	8094	343846
23	8450	343672
24	8815	343815
25	9177	343788
26	9532	343537
27	9904	343838
28	10285	344373
29	10649	344347
30	11019	344437
31	11388	344503
32	11762	344662
33	12140	344929
34	12507	344849
35	12860	344374
36	13219	344070
37	13587	343986
38	13960	343997
39	14338	344134
40	14687	343542
41	15062	343562
42	15429	343405
43	15825	343853
44	16195	343703
45	16557	343380
46	16939	343474
47	17276	342649
48	17632	342218
49	18000	342007
50	18376	341944
51	18721	341311
52	19104	341359
53	19453	340792
54	19799	340195
55	20145	339599
56	20526	339584
57	20912	339647
58	21317	340001
59	21675	339582
60	22038	339243
61	22439	339485
62	22795	339035
63	23211	339465
64	23597	339441
65	23960	339081
66	24332	338834
67	24693	338445
68	25071	338280
69	25449	338114
70	25788	337428
71	26132	336825
72	26493	336427
73	26899	336601
74	27282	336479
75	27656	336244
76	28002	335667
77	28372	335380
78	28757	335258
79	29139	335099
80	29482	334497
81	29850	334175
82	30217	333843
83	30584	333521
84	30965	333339
85	31316	332826
86	31714	332822
87	32060	332260
88	32444	332095
89	32790	331547
90	33162	331262
91	33536	330994
92	33874	330368
93	34273	330334
94	34638	329975
95	35058	330131
96	35444	329963
97	35836	329841
98	36170	329186
99	36576	329189
100	36941	328813
101	37334	328686
102	37672	328083
103	38015	327521
104	38416	327452
105	38749	326815
106	39113	326437
107	39488	326142
108	39810	325427
109	40212	325355
110	40575	324970
111	40937	324573
112	41321	324354
113	41696	324058
114	42060	323680
115	42440	323428
116	42766	322757
117	43149	322525
118	43536	322313
119	43878	321777
120	44257	321505
121	44579	320824
122	44962	320585
123	45282	319900
124	45624	319369
125	45999	319074
126	46393	318910
127	46768	318612
128	47141	318294
129	47482	317768
130	47821	317225
131	48186	316865
132	48537	316403
133	48917	316135
134	49288	315811
135	49675	315587
136	50038	315207
137	50430	315007
138	50833	314877
139	51173	314349
140	51549	314051
141	51971	314025
