iter	Passed	Remaining
0	362	362106
1	703	350834
2	1037	344757
3	1395	347369
4	1750	348315
5	2114	350256
6	2455	348345
7	2812	348695
8	3178	349947
9	3509	347460
10	3862	347302
11	4222	347656
12	4599	349204
13	4959	349323
14	5331	350101
15	5676	349128
16	6016	347920
17	6400	349171
18	6743	348183
19	7104	348109
20	7458	347708
21	7820	347662
22	8180	347513
23	8537	347180
24	8904	347278
25	9263	347041
26	9648	347704
27	9985	346656
28	10334	346023
29	10694	345777
30	11061	345749
31	11412	345226
32	11775	345063
33	12129	344612
34	12484	344203
35	12851	344139
36	13224	344196
37	13613	344638
38	13991	344764
39	14360	344656
40	14729	344527
41	15098	344386
42	15455	343982
43	15818	343696
44	16198	343775
45	16623	344761
46	16981	344318
47	17390	344907
48	17789	345256
49	18161	345073
50	18533	344866
51	18931	345128
52	19298	344822
53	19658	344392
54	20028	344131
55	20389	343713
56	20739	343108
57	21099	342681
58	21449	342095
59	21826	341950
60	22199	341723
61	22549	341157
62	22895	340520
63	23269	340311
64	23670	340496
65	24036	340159
66	24375	339435
67	24708	338654
68	25066	338211
69	25429	337842
70	25838	338086
71	26248	338311
72	26636	338242
73	26989	337737
74	27379	337674
75	27745	337331
76	28132	337226
77	28532	337266
78	28887	336782
79	29307	337034
80	29670	336634
81	30058	336505
82	30424	336135
83	30850	336420
84	31262	336530
85	31658	336462
86	32042	336261
87	32421	335999
88	32832	336067
89	33245	336149
90	33621	335848
91	34032	335885
92	34452	336004
93	34842	335825
94	35254	335848
95	35611	335339
96	35944	334615
97	36317	334265
98	36747	334442
99	37125	334125
100	37454	333382
101	37821	332980
102	38155	332284
103	38521	331875
104	38891	331507
105	39265	331160
106	39627	330719
107	39965	330088
108	40300	329430
109	40646	328866
110	40984	328247
111	41387	328139
112	41807	328166
113	42195	327939
114	42560	327530
115	42927	327133
116	43272	326581
117	43639	326189
118	44072	326286
119	44452	325986
120	44827	325651
121	45232	325528
122	45610	325205
123	45978	324819
124	46303	324127
125	46685	323836
126	47029	323279
127	47387	322829
128	47764	322502
129	48165	322336
130	48561	322136
131	48954	321912
132	49301	321389
133	49716	321301
134	50095	320982
135	50503	320846
136	50858	320370
137	51257	320171
138	51632	319824
139	52013	319511
140	52420	319355
141	52742	318685
142	53131	318419
143	53509	318083
144	53891	317776
145	54207	317076
146	54574	316678
147	54934	316242
148	55299	315839
149	55642	315308
150	56033	315050
151	56428	314812
152	56806	314480
153	57168	314053
154	57547	313728
155	57927	313404
156	58277	312918
157	58600	312290
158	58954	311830
159	59305	311351
160	59643	310811
161	60036	310560
162	60412	310218
163	60785	309859
164	61131	309363
165	61482	308892
166	61874	308632
167	62287	308469
168	62688	308250
169	63050	307833
170	63414	307429
171	63783	307050
172	64179	306801
173	64556	306459
174	64918	306042
175	65258	305529
176	65658	305293
177	66016	304864
178	66403	304564
179	66757	304118
180	67151	303852
181	67511	303430
182	67873	303021
183	68267	302750
184	68662	302485
185	69036	302127
186	69399	301722
187	69744	301238
188	70152	301024
189	70530	300682
190	70943	300488
191	71344	300241
192	71726	299911
193	72070	299427
194	72445	299069
195	72775	298529
196	73094	297944
197	73444	297488
198	73814	297113
199	74162	296649
200	74545	296326
201	74912	295943
202	75274	295533
203	75634	295124
204	75983	294667
205	76362	294328
206	76724	293925
207	77116	293637
208	77468	293194
209	77844	292844
210	78238	292560
211	78609	292189
212	78920	291598
213	79310	291300
214	79669	290885
215	80031	290485
216	80423	290192
217	80757	289688
218	81132	289335
219	81505	288972
220	81863	288559
221	82264	288295
222	82628	287903
223	83037	287666
224	83386	287219
225	83774	286910
226	84158	286582
227	84517	286171
228	84890	285811
229	85273	285481
230	85642	285105
231	86000	284689
232	86412	284455
233	86716	283867
234	87061	283414
235	87453	283111
236	87803	282674
237	88150	282229
238	88485	281747
