iter	Logloss
0	0.6878156782
1	0.6828504669
2	0.6784486548
3	0.6741387348
4	0.6703559163
5	0.6664597295
6	0.6627883861
7	0.6591100656
8	0.6557950221
9	0.6528283791
10	0.6496298108
11	0.6467562337
12	0.6443458753
13	0.6418567645
14	0.6395293716
15	0.6373715472
16	0.6351678912
17	0.6329403409
18	0.6310245545
19	0.628974598
20	0.6270630474
21	0.6252910754
22	0.6234976201
23	0.621984418
24	0.6203416704
25	0.6188375627
26	0.6173333039
27	0.6158929707
28	0.6143808746
29	0.6129177454
30	0.611920903
31	0.6108583973
32	0.6095267951
33	0.6083291599
34	0.6070833911
35	0.6059843869
36	0.604831809
37	0.6037572506
38	0.602732496
39	0.6016598023
40	0.6006295689
41	0.599642636
42	0.5988470679
43	0.5981800827
44	0.5972047362
45	0.5963521681
46	0.595473213
47	0.5945897934
48	0.5938362517
49	0.5931434081
50	0.5923011732
51	0.5914017097
52	0.5907931963
53	0.5899323523
54	0.589253972
55	0.5884714418
56	0.587843593
57	0.5871711069
58	0.5864788966
59	0.5857805999
60	0.5851242424
61	0.5844213731
62	0.583918076
63	0.5832081965
64	0.5827707596
65	0.5821455636
66	0.581407751
67	0.5807765857
68	0.5801167461
69	0.5795466676
70	0.5788783627
71	0.5783046322
72	0.5776448999
73	0.5771063824
74	0.576533134
75	0.5758980012
76	0.5753523401
77	0.5749322986
78	0.5744992332
79	0.5739990872
80	0.573436102
81	0.5728382964
82	0.5722243168
83	0.5716461012
84	0.5710564814
85	0.5706145924
86	0.5700075007
87	0.5694894835
88	0.5689650923
89	0.5683961054
90	0.5678330877
91	0.5673492998
92	0.5669887596
93	0.5665883844
94	0.5659577111
95	0.5653473358
96	0.5648921957
97	0.5643067593
98	0.563901823
99	0.5634213492
100	0.5628098141
101	0.5622641787
102	0.5618609399
103	0.5613713567
104	0.5609292582
105	0.5605217416
106	0.5599310732
107	0.5593771759
108	0.5590164117
109	0.5585767995
110	0.5582362461
111	0.5577685085
112	0.5574517675
113	0.5569030092
114	0.5563788414
115	0.556029728
116	0.5556337361
117	0.5550825664
118	0.5547060598
119	0.5542927021
120	0.5538963994
121	0.5536047952
122	0.553056906
123	0.5526072543
124	0.5521092218
125	0.551845357
126	0.5514395892
127	0.5508569724
128	0.5504949452
129	0.550142177
130	0.5498276978
131	0.5493427572
132	0.5490216997
133	0.5487194966
134	0.5481362006
135	0.5477504565
136	0.5474128993
137	0.5469821819
138	0.5465700858
139	0.5461689362
140	0.545740937
141	0.5453206492
142	0.5449267166
143	0.5445643043
144	0.5441322625
145	0.5437494284
146	0.5434530106
147	0.5431616314
148	0.5428331667
149	0.5423355143
150	0.5418507139
151	0.5415112553
152	0.5412431856
153	0.5407715035
154	0.5404365883
155	0.539874265
156	0.5395661482
157	0.5392174322
158	0.5388190155
159	0.538269816
160	0.5378961959
161	0.5374933035
162	0.5371185961
163	0.5366210269
164	0.5362682861
165	0.5357371585
166	0.5353407131
167	0.5350036463
168	0.5347861447
169	0.5343596357
170	0.5340394879
171	0.5336221351
172	0.5334097899
173	0.5328812559
174	0.5324760606
175	0.5319495975
176	0.5316859919
177	0.5312801596
178	0.5309137593
179	0.5305451479
180	0.5301446224
181	0.5297392877
182	0.5294218095
183	0.5289068246
184	0.5284586243
185	0.5281596807
186	0.5279036796
187	0.5275768654
188	0.5271488933
189	0.5269753111
190	0.5266956183
191	0.526253662
192	0.5260248086
193	0.5257424411
194	0.5254038473
195	0.5249349256
196	0.5244400154
197	0.5240988519
198	0.5238520912
