iter	Passed	Remaining
0	313	313615
1	621	309977
2	899	298998
3	1196	297997
4	1306	259895
5	1613	267276
6	1931	274022
7	2238	277602
8	2537	279434
9	2849	282134
10	3172	285220
11	3483	286812
12	3793	287987
13	4103	289015
14	4429	290868
15	4728	290805
16	5059	292554
17	5392	294196
18	5740	296377
19	6074	297646
20	6390	297897
21	6709	298271
22	7037	298948
23	7355	299112
24	7653	298482
25	7975	298782
26	8295	298940
27	8588	298140
28	8899	297995
29	9229	298411
30	9538	298148
31	9853	298055
32	10184	298445
33	10522	298951
34	10818	298275
35	11136	298215
36	11472	298593
37	11780	298225
38	12094	298009
39	12443	298648
40	12809	299614
41	13125	299380
42	13448	299302
43	13797	299776
44	14142	300133
45	14507	300867
46	14827	300642
47	15152	300527
48	15466	300169
49	15783	299893
50	16099	299572
51	16446	299827
52	16776	299761
53	17095	299483
54	17419	299291
55	17766	299488
56	18086	299225
57	18403	298906
58	18739	298881
59	19096	299177
60	19413	298847
61	19755	298887
62	20068	298481
63	20399	298343
64	20707	297875
65	21039	297736
66	21403	298048
67	21700	297429
68	22002	296880
69	22308	296387
70	22687	296848
71	23038	296934
72	23395	297086
73	23722	296850
74	24050	296620
75	24362	296195
76	24698	296060
77	25053	296143
78	25390	296002
79	25726	295859
80	26047	295529
81	26378	295309
82	26708	295080
83	27006	294501
84	27350	294421
85	27696	294354
86	27997	293817
87	28323	293530
88	28622	292974
89	28949	292711
90	29302	292699
91	29655	292683
92	30000	292582
93	30314	292178
94	30644	291925
95	30984	291767
96	31301	291398
97	31624	291072
98	31948	290766
99	32276	290487
100	32578	289979
101	32912	289757
102	33234	289432
103	33560	289132
104	33904	288993
105	34223	288638
106	34529	288177
107	34848	287823
108	35183	287599
109	35545	287596
110	35853	287154
111	36170	286780
112	36488	286420
113	36844	286356
114	37126	285712
115	37477	285602
116	37822	285443
117	38167	285283
118	38483	284904
119	38808	284598
120	39174	284585
121	39519	284409
122	39833	284019
123	40170	283782
124	40477	283339
125	40803	283033
126	41103	282544
127	41417	282153
128	41763	281986
129	42084	281641
130	42445	281566
131	42766	281220
132	43055	280672
133	43370	280286
134	43731	280204
135	44049	279844
136	44367	279483
137	44669	279022
138	44973	278577
139	45323	278413
140	45661	278179
141	45983	277844
142	46299	277470
143	46603	277032
144	46920	276669
145	47280	276559
146	47585	276122
147	47930	275922
148	48253	275594
149	48563	275192
150	48878	274822
151	49244	274732
